analysis_id,29wsn5071eo1k7a
pvalue,0.4210635
mouse_life_stage,Late adult
parameter_name,Outer ear morpholgy
gene_symbol,Unc5c
mouse_strain,C57BL
parameter_id,IMPC_GEP_026_001
gene_accession_id,MGI:1095412
