gene_symbol,Slc24a5
pvalue,0.8357568
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,141g95x6l7eoo6m
parameter_name,Vibrissae
gene_accession_id,MGI:2677271
parameter_id,MGP_CSD_068_001
