mouse_life_stage,Early adult
parameter_name,Fusion of processes
parameter_id,CCP_XRY_061_001
mouse_strain,C57BL
gene_symbol,Ampd1
gene_accession_id,MGI:88015
pvalue,0.6683464
analysis_id,1eie59bu6202ucx
