pvalue,0.2961441
parameter_name,Creatinine
mouse_life_stage,Early adult
analysis_id,182y941xrd4545a
gene_accession_id,MGI:1914210
parameter_id,IMPC_CBC_005_001
mouse_strain,C57BL
gene_symbol,Mindy3
