mouse_life_stage,Early adult
parameter_id,CCP_XRY_018_001
parameter_name,Shape of vertebrae
pvalue,0.8731221
mouse_strain,C57BL
analysis_id,2biny3q22vie3ta
gene_accession_id,MGI:3649135
gene_symbol,Gm7694
