mouse_life_stage,E18.5
analysis_id,138p39u8r94v6cx
gene_accession_id,MGI:2676312
pvalue,0.06271728
parameter_id,IMPC_HEM_003_001
mouse_strain,C57BL
gene_symbol,Abca12
parameter_name,Hemoglobin
