gene_accession_id,MGI:1095412
analysis_id,0l49w8s5fo2c4tm
mouse_life_stage,Late adult
pvalue,0.4774274
mouse_strain,C57BL
parameter_id,ESLIM_005_001_005
gene_symbol,Unc5c
parameter_name,Bone Mineral Content
