mouse_strain,C57BL
pvalue,0.9856168
parameter_name,Coat - hair texture / appearance - head
parameter_id,IMPC_CSD_015_001
analysis_id,0m8nzvd737qasjx
gene_symbol,Ambra1
mouse_life_stage,E9.5
gene_accession_id,MGI:2443564
