parameter_id,IMPC_CSD_026_001
analysis_id,03s5cuts2982d6a
pvalue,0.7683114
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Head morphology
gene_symbol,Vxn
gene_accession_id,MGI:1924232
