mouse_strain,C57BL
analysis_id,1b29u841iv8850x
mouse_life_stage,E15.5
gene_accession_id,MGI:1927753
parameter_id,JAX_PLC_004_001
pvalue,0.5644783
gene_symbol,Inpp5e
parameter_name,Glucose
