mouse_strain,C57BL
parameter_name,Ulna
gene_accession_id,MGI:2676312
parameter_id,IMPC_XRY_023_001
pvalue,0.8536833
mouse_life_stage,Early adult
analysis_id,15f7g8076vr423x
gene_symbol,Abca12
