parameter_id,IMPC_EYE_016_001
gene_accession_id,MGI:1913692
mouse_life_stage,Early adult
gene_symbol,Spc25
pvalue,0.3871983
analysis_id,0h1j4vi8294np4a
parameter_name,Lens
mouse_strain,C57BL
