analysis_id,165ar37z2i22nxx
parameter_id,IMPC_FEA_003_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Il18r1
gene_accession_id,MGI:105383
pvalue,0.7556026
parameter_name,Conditioning Baseline % Freezing Time
