pvalue,0.2400157
parameter_name,Corneal opacity
analysis_id,1jtr0a9t5qw30km
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_008_001
gene_symbol,Ampd1
gene_accession_id,MGI:88015
