gene_accession_id,MGI:1927753
gene_symbol,Inpp5e
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_087_001
pvalue,0.7621781
parameter_name,Right vitreous humor thickness
analysis_id,0901wl617qkx93m
