parameter_name,Total protein
mouse_strain,C57BL
gene_accession_id,MGI:107363
analysis_id,13w499jn8y4144a
pvalue,0.9280501
parameter_id,IMPC_CBC_006_001
gene_symbol,Stxbp1
mouse_life_stage,E18.5
