mouse_strain,C57BL
parameter_name,Glucose
parameter_id,M-G-P_025_001_001
gene_accession_id,MGI:109424
pvalue,0.5481506
gene_symbol,Abca4
analysis_id,1lt7b96x502249m
mouse_life_stage,Early adult
