mouse_strain,C57BL
gene_symbol,Mrpl44
parameter_id,IMPC_GEP_026_001
parameter_name,Outer ear morpholgy
pvalue,0.3930227
mouse_life_stage,E9.5
analysis_id,0s291xpsp44vqax
gene_accession_id,MGI:1916413
