gene_symbol,Plekhf2
parameter_id,MGP_PBI_005_001
analysis_id,06md03c2s1p8jra
gene_accession_id,MGI:1919051
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2384632
parameter_name,Gamma delta T cell percentage
