mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Skin color - tail
parameter_id,IMPC_CSD_061_001
gene_symbol,Cldn11
pvalue,0.5205393
analysis_id,24r71s7pvkuhpga
gene_accession_id,MGI:106925
