analysis_id,17ds6k681476k3a
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GEM_019_001
pvalue,0.2638804
gene_symbol,Eppin
parameter_name,Embryo Size
gene_accession_id,MGI:1922776
