parameter_id,HMGULA_DYS_014_001
gene_accession_id,MGI:107363
analysis_id,02y3139d5t3wm2m
pvalue,0.1083035
parameter_name,Coat - hair texture / appearance - back
mouse_life_stage,E18.5
mouse_strain,C57BL
gene_symbol,Stxbp1
