analysis_id,0rg0ezp8y6519da
mouse_life_stage,E9.5
pvalue,0.8957423
parameter_name,6kHz-evoked ABR Threshold
gene_accession_id,MGI:1201673
mouse_strain,C57BL
parameter_id,IMPC_ABR_004_001
gene_symbol,Shox2
