parameter_id,IMPC_XRY_063_001
mouse_strain,C57BL
gene_accession_id,MGI:2140361
parameter_name,Cervical processes
pvalue,0.3797483
mouse_life_stage,E12.5
gene_symbol,Slc35d1
analysis_id,2dy399c8gndte8a
