mouse_life_stage,Early adult
gene_accession_id,MGI:1891259
pvalue,0.3102131
mouse_strain,C57BL
parameter_id,JAX_OFD_009_001
parameter_name,Whole arena average speed
analysis_id,1on3lej4he4ce8m
gene_symbol,Lrat
