analysis_id,085rbnha354iu3m
gene_symbol,Pgm1
gene_accession_id,MGI:97565
mouse_life_stage,E12.5
parameter_id,CCP_LFO_001_001
pvalue,0.9265876
mouse_strain,C57BL
parameter_name,Weight
