gene_accession_id,MGI:2444391
gene_symbol,Slc25a44
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_016_001_006
pvalue,0.9982552
parameter_name,Mean-corpuscular-haemoglobin
analysis_id,03877q45689600a
