analysis_id,1y69zs990mm6y7a
gene_accession_id,MGI:101813
gene_symbol,Coq3
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_003_001
pvalue,0.4837709
parameter_name,Chloride
mouse_strain,C57BL
