mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Src
gene_accession_id,MGI:98397
parameter_id,IMPC_GEL_058_001
pvalue,0.611915
analysis_id,0fvf125i531760m
parameter_name,Heart morphology
