gene_symbol,Cdh4
pvalue,0.6381218
parameter_name,Neural tube closure
parameter_id,IMPC_GEL_027_001
gene_accession_id,MGI:99218
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,1766z8815lgdn7x
