parameter_id,IMPC_XRY_006_001
pvalue,0.5422067
gene_accession_id,MGI:2441837
parameter_name,Scapulae
mouse_strain,C57BL
gene_symbol,Adgrb3
analysis_id,162o228v574it7m
mouse_life_stage,Early adult
