mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Mgat4f
parameter_id,IMPC_IMM_032_002
pvalue,0.5609391
parameter_name,Effector CD8+ T cells - % of live leukocytes (Panel A)
gene_accession_id,MGI:3045320
analysis_id,1e34947v9i9l91a
