pvalue,0.5002146
gene_accession_id,MGI:1916428
mouse_strain,C57BL
parameter_id,IMPC_OFD_012_001
parameter_name,Periphery permanence time
mouse_life_stage,Early adult
analysis_id,28016fyufi338pa
gene_symbol,Snx5
