gene_symbol,Map7d1
pvalue,0.2181865
gene_accession_id,MGI:2384297
parameter_id,JAX_OFD_009_001
mouse_strain,C57BL
analysis_id,114886b2lt6exfm
mouse_life_stage,E9.5
parameter_name,Whole arena average speed
