gene_accession_id,MGI:1922776
gene_symbol,Eppin
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_006_001
pvalue,0.7482361
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
analysis_id,049oz3m2z06hz3x
