parameter_id,IMPC_CBC_016_001
gene_accession_id,MGI:106637
mouse_life_stage,E9.5
gene_symbol,Slc30a2
mouse_strain,C54BL
pvalue,0.2671063
parameter_name,HDL-cholesterol
analysis_id,0543w6t53mw4j6m
