mouse_life_stage,Early adult
analysis_id,196lyr4bmv36mpx
pvalue,0.06770778
gene_symbol,Atp6v0b
parameter_id,IMPC_GRS_010_001
parameter_name,Forelimb grip strength normalised against body weight
mouse_strain,C57BL
gene_accession_id,MGI:1890510
