pvalue,0.5064764
gene_accession_id,MGI:1309469
analysis_id,1e73rixy5yr86ga
parameter_name,Treg cells - % of live leukocytes (Panel A)
mouse_strain,C57BL
parameter_id,IMPC_IMM_014_002
mouse_life_stage,E12.5
gene_symbol,Casq2
