parameter_name,Periphery permanence time
gene_symbol,Slc30a2
mouse_life_stage,E9.5
gene_accession_id,MGI:106637
parameter_id,IMPC_OFD_012_001
pvalue,0.7961556
analysis_id,0w2e8a516df2qia
mouse_strain,C57BL
