gene_symbol,Tpx2
parameter_id,JAX_LDT_009_001
analysis_id,0i9f7o2t189v34x
pvalue,0.5318481
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Percent time in light
gene_accession_id,MGI:1919369
