mouse_life_stage,E9.5
gene_accession_id,MGI:1915247
gene_symbol,Ddx59
parameter_id,MGP_MLN_072_001
analysis_id,081e7312xmd60nm
pvalue,0.9334905
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_strain,C57BL
