gene_symbol,Coq3
mouse_life_stage,Early adult
gene_accession_id,MGI:101813
parameter_id,IMPC_IPG_010_001
parameter_name,Fasted blood glucose concentration
mouse_strain,C57BL
analysis_id,0y838p23wvv1d9x
pvalue,0.9802191
