gene_symbol,Rbl1
analysis_id,19w37g5932o9yna
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_005_001_005
parameter_name,Bone Mineral Content
gene_accession_id,MGI:103300
pvalue,0.7807405
