parameter_id,IMPC_EYE_023_001
analysis_id,15b425xausi4r0x
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Srp9
pvalue,0.6145449
gene_accession_id,MGI:1350930
parameter_name,Optic Disc
