pvalue,0.1279118
parameter_id,IMPC_GEP_026_001
analysis_id,28j29989036a92a
parameter_name,Outer ear morpholgy
gene_symbol,Sptan1
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:98386
