parameter_id,IMPC_ECH_012_001
parameter_name,LVPWs
analysis_id,01o8ma93k2jh04a
mouse_life_stage,Early adult
gene_symbol,Poglut2
mouse_strain,C57BL
gene_accession_id,MGI:1919300
pvalue,0.3644325
