parameter_name,Placenta Morphology
gene_accession_id,MGI:1309469
analysis_id,24kq6o71986qc5a
pvalue,0.09528326
gene_symbol,Casq2
mouse_life_stage,Early adult
parameter_id,IMPC_GPO_002_001
mouse_strain,C57BL
