mouse_strain,C57BL
parameter_id,IMPC_CSD_029_001
mouse_life_stage,Late adult
parameter_name,Activity (body position)
pvalue,0.4886278
analysis_id,14pgwb72jhwis7x
gene_accession_id,MGI:1096385
gene_symbol,Bcan
