mouse_life_stage,Early adult
gene_accession_id,MGI:1914199
gene_symbol,Trim59
pvalue,0.6970273
analysis_id,1513943t394146x
mouse_strain,C57BL
parameter_id,MGP_MLN_018_001
parameter_name,CD5+ gd T cells - % of gd T cells
