mouse_life_stage,E12.5
parameter_name,Potassium
analysis_id,0k82uur466eme4a
pvalue,0.6403495
parameter_id,M-G-P_025_001_005
gene_accession_id,MGI:2443564
gene_symbol,Ambra1
mouse_strain,C57BL
