analysis_id,0594f1f839q896x
gene_symbol,Mettl21c
parameter_id,IMPC_XRY_027_001
mouse_strain,C57BL
gene_accession_id,MGI:3611450
mouse_life_stage,Early adult
parameter_name,Joints
pvalue,0.860063
