parameter_name,Aspartate aminotransferase
mouse_strain,C57BL
parameter_id,IMPC_CBC_012_001
gene_symbol,Coq3
mouse_life_stage,E9.5
pvalue,0.5925408
gene_accession_id,MGI:101813
analysis_id,0p761ck91tn2u8x
