mouse_strain,C50BL
pvalue,0.09771712
gene_accession_id,MGI:1201673
parameter_id,MGP_IMM_013_001
mouse_life_stage,E12.5
parameter_name,Total CD8+ T cells - % of ab T cells
gene_symbol,Shox2
analysis_id,0776n2j5nr1o9jx
