parameter_id,IMPC_EYE_083_001
mouse_life_stage,E18.5
parameter_name,Vitreous
analysis_id,0j1q46lr3rehi5m
gene_symbol,Trim59
mouse_strain,C57BL
gene_accession_id,MGI:1914199
pvalue,0.9568879
