gene_accession_id,MGI:2384297
gene_symbol,Map7d1
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,MGP_MLN_066_001
pvalue,0.1140389
parameter_name,Effector CD4+ T helper cells - % of CD45+
analysis_id,2134431le19qw6a
