gene_accession_id,MGI:3617846
gene_symbol,Ankrd34a
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_021_001_002
pvalue,0.8602855
parameter_name,Total cholesterol
analysis_id,0iesz56q414259x
