mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,1bj9c23aohthclx
parameter_name,Responsive to tactile stimuli
gene_symbol,Firrm
pvalue,0.8243842
parameter_id,IMPC_GEP_005_002
gene_accession_id,MGI:3590554
