pvalue,0.7944066
analysis_id,1em15y9b24zokxm
parameter_id,ESLIM_021_001_005
mouse_strain,C57BL
gene_accession_id,MGI:2442792
parameter_name,HDL-cholesterol
mouse_life_stage,Early adult
gene_symbol,Cdh7
