gene_accession_id,MGI:1918066
gene_symbol,Rpusd2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_017_002
pvalue,0.8934641
parameter_name,Facial Cleft
analysis_id,1pto9wfr7jxfo5m
