pvalue,0.5236906
analysis_id,1mw275jr0l5k2jm
parameter_id,MGP_IMM_128_001
parameter_name,Conventional DC (cDC) - % of CD45+
gene_accession_id,MGI:3611233
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Tox2
