gene_symbol,Sec61a2
mouse_strain,C57BL
analysis_id,08e3d725v5u301x
parameter_id,IMPC_ECG_028_001
mouse_life_stage,Early adult
parameter_name,QT
gene_accession_id,MGI:1931071
pvalue,0.3854255
