analysis_id,15oq106nm93670m
gene_symbol,Shox2
mouse_life_stage,Early adult
parameter_id,IMPC_FEA_003_001
gene_accession_id,MGI:1201673
parameter_name,Conditioning Baseline % Freezing Time
mouse_strain,C57BL
pvalue,0.4432819
