Mouse_strain,C57BL
Pvalue,0.8200514
Analysis_id,1pt77p9c74eiaam
Mouse_life_stage,E12.5
gene_accession_id,MGI:1927241
Parameter_id,ESLIM_020_001_002
parameter_name,Heart weight
gene_symbol,Wdr12
