mouse_life_stage,E9.5
gene_symbol,Zbtb34
parameter_id,IMPC_XRY_027_001
parameter_name,Joints
mouse_strain,C57BL
pvalue,0.8634949
gene_accession_id,MGI:2685195
analysis_id,042lk77sc111t5a
